pp,response_id,color_drink,color_drink_coded_1,color_drink_coded_2,color_drink_coded_3,color_health,color_health_coded_1,color_health_coded_2,color_health_coded_3,color_own,Color_own_coded_1,Color_own_coded_2,Color_own_coded_3
1,R_bNMcFexSRX2uWeB,"If it is lighter you are hydrated, darker you are dehydrated",hydration,,,Not sure,N/A,,,If its really dark I make a conscious effort to drink more water,awareness,,
2,R_1i8og9uHB4MaU18,"the more they drink, the lighter their urine is",amount,,,darker urine means consuming less fluids than lighter urine,color,hydration,,adjust drinking amount to maintain urine at a certain colour,drink_more,,
3,R_33l3uQyD6iuanQB,"Light the urine, the more water they drink",amount,,,Lighter urine = healthier,color,,,I know I need to drink more water if my urine is dark,awareness,,
4,R_3DpPJsrWwxW67F7,"The darker the colour, the more dehydrated you are.",hydration,,,Depends on the colour. Red or brown would most likely point to a health problem.,color,,,It doesn't. I drink when I am thirsty but my liquid intake is quite low because I am not usually thirsty.,no_effect,,
5,R_x0pTf7fD6AfgiWZ,"Yes, if they drink lots, then the urine is paler",amount,,,"Yes, for example if urine is cloudy, this could mean a bladder infection.",disease,organ,,"Yes, if it is dark, I make sure to drink a cup of water immediately",drink_more,,
6,R_239xppYPx6Tp3Nh,"the lighter, the more water you have been drinking. Sugary drinks making it darker",amount,diet,,lighter is healthier,color,,,if it is very dark I think I need to drink more water,drink_more,,
7,R_32WtyYriveQlITh,If its light it means you're hydrated enough,hydration,,,I think that it shows how hydrated your body is and in turn gives an indication of your health,color,,,If I notice the colour of my urine is dark I will actively try to up my water intake to resolve it,awareness,,
8,R_yUCz72zSwT5wyzf,The darker the colour the less fluid they have consumed and should consider drinking plenty of water.,amount,,,not necessarily as they may not have had time to have a drink but still are healthy in every other way.,no_effect,,,if I see it is dark in colour I always make Sure to go and have a drink,drink_more,,
9,R_sXbDMCb7Y3jTgzL,"the darker the colour the more dehydrated they are, the lighter is well hydrated",hydration,,,yes,N/A,,,If it is too dark I know I am not drinking enough,awareness,,
10,R_2tLJMxBtFJCoeBM,Darker colour means not drinking enough,amount,,,Lighter colour indicates well hydrated and less likely to have anything wrong with health,color,hydration,,Occasionally makes me think I'm not drinking enough water,sometimes_more,,
11,R_3HRe9UO94xIKMc0,light colour means they are drinking enough,amount,,,lighter is healthier,color,,,if its dark i drink more,drink_more,,
12,R_SJn7GIiUrOj6rPX,darker urine means not drinking enough,amount,,,darker urine means dehydrated,hydration,,,it doesnt affect it,no_effect,,
13,R_3m4S8vGBI3aJVw1,"The more you drink, the clearer your urine will be.",amount,,,"Dark urine indicates health issues, mainly dehydration.",hydration,disease,,I tend to consciously drink more water if my urine appears darker.,awareness,,
14,R_1gtkFuHTe357Ahb,Dark urine = a person who doesn't drink enough fluids,amount,,,Dark urine equates to unhealthy/infection,color,disease,,At times its too dark/yellow which reminds me to drink more fluids,sometimes_more,,
15,R_vO9J8FEmkdoiaNH,The lighter it is the better it is as you are more hydrated,hydration,,,the lighter it is the better it is/ about that?,color,,,It does not,no_effect,,
16,R_3PM2VyrfGwKhQ6v,The more fluid you drink the less concentrated and therefore more clear your urine should be.,amount,,,The darker the urine the less healthy they are.,color,,,"If I feel my urine looks dark with the exception of the first one of the day, I will make an effort to drink more fluid.",drink_more,,
17,R_vf3OUjQ1SQy4yad,It shows if they are drinking enough or not drinking enough,amount,,,It can potentially alert to some more severe issues I believe.,disease,N/A,,"It does - if I notice my urine is dark in colour, I will make a conscious effort to drink more in order to hydrate.",awareness,,
18,R_3Jsb7eHpwcCmWtC,"If it is dark, then they are not drinking enough water",amount,,,Not drinking enough water is bad for you.,hydration,color,,It should encourage you to drink more,N/A,,
19,R_OxkpGSDokoYqQjD,Fluid status - dark urine = dry; light urine = well hydrated,hydration,,,Very related - dark urine = risk of AKI,disease,organ,,"I always aim to keep well hydrated, especially at work. I make a habit of observing the colour of my urine and adjusting my oral intake accordingly.",awareness,,
20,R_3MaEr0iC73unZSY,The darker it it is the more clear fluids they should drink as it is a sign of dehydration,amount,hydration,,"Greatly, it is a sign of not getting enough of the right fluids, I try to monitor the colour of mine so that I am aware that i need to drink more",hydration,,,hydration,N/A,,
21,R_1ODYXXz9tlV5BHR,"To some extent, the lighter the urine the more liquid they have drunk - but also the type of drink that they consume.",amount,diet,,"It can indicate health, but not always.",N/A,,,It doesn't,no_effect,,
22,R_2v6V6K0Ay3nuilN,I think quite a bit of the colour of your urine reflects how much you drink.,amount,,,It just shows hydration or dehydration unless someone has a factor affecting them.,hydration,,,"I don't pay much attention to it, but would be alarmed if it was a dark colour. I would try to get hydrated right then and there.",sometimes_more,,
23,R_1IsfgsldzAk8MJA,The paler the urine the more fluid that person drinks,amount,,,I would associate lighter urine with better health,color,,,If my urine looks particularly dark I will increase my intake of water,drink_more,,
24,R_BxP5H25EKV5XHRD,The more water you drink the paler your urine.,amount,,,"I think darker urine could indicate a person is not drinking enough water, or could potentially have an infection.",hydration,disease,,"If I see my urine is darker, it encourages me to drink more water.",drink_more,,
25,R_yEEIWHTItFViusx,Darker urine suggests dehydration as it is very concentrated. The more you drink the more diluted your urine is.,hydration,concentration,,Usually lighter urine is a sign of hydration and better health,color,hydration,,"If it's very dark I will drink more. Suffering with kidney stones, I try not to let myself get dehydrated anyway though (some days I manage better than others!)",drink_more,,
26,R_2ci9x3jVCIAAnCw,The paler the urine the more hydrated the person is,hydration,,,Very dark urine indicates poor health,color,,,If my urine appears dark I make a conscious effort to drink more water for the rest of that day, awareness,,
27,R_3Hqv2FaZhKVckU6,if its dark it shows that all the toxins are in the urine,toxins,,,dark means not drink enough and are dehydrated,hydration,,,if its dark or cloudy i increase my fluid intake,drink_more,,
28,R_3jYTqQm6LzSfsYo,lighter urine = more hydrated/more diuretics,hydration,diet,,lighter is better but it isn't an indicator of health. It correlates with health,color,,,Not at all,no_effect,,
29,R_1j6pWjnzu2lXnBg,"I think it's a good indicator of a normal persons fluid intake, not including any medications.",amount,,,I think it's a good indicator of health,color,,,"I am not usually dehydrated as Ai drink plenty, my tea is decaf but if I do see a darker wee I will have a glass of water.",sometimes_more,,
30,R_T7uLPjmetq1Tj7H,"Yes i do, the less liquids consumed the darker the colour",amount,,,Dark urine would indicate poor health,color,,,If it becomes darker I drink more fluids .,drink_more,,
31,R_ZCeF5WM47fPeTct,More hydrated leads to clearer urine,hydration,,,Yes. Darker or abnormal coloured urine can relate to health issues,color,,,"Yes, the more I drink the clearer it becomes",drink_more,,
32,R_w1QSntJfrInycxP,I think how much people drink has a massive effect on the colour of their urine.,amount,,,the clearer their urine the better chance they have of healthier body and mind.,color,,,I suffer from kidney stones so it is in my best interests to observe the colour of my urine.,awareness,,
33,R_2EgCLdxIBKCg2qg,"The lighter it is the more hydrated they are, they darker it is the more dehydrated they are",hydration,,,You need fluids to keep your kidneys working and your body hydrated,hydration,,,"I drink more if I believe it is too dark, we have charts in the toilets at work",drink_more,,
34,R_Q5grOe5q3y1cMr7,how much fluids they have drank,amount,,,not sure,N/A,,,Does not,no_effect,,
35,R_TctqOOXcNNaf9NT,"I was under the impression that the paler the urine colour, the more hydrating drinks they have consumed, but I imagine there are other factors that may affect it as well.",amount,hydration,diet,"If the urine is very dark, this would imply dehydration which can affect all organs, reaction time, ability to process, skin dryness.  I imagine it may also indication some other illnesses or disease.",hydration,organ,,If I notice that my urine looks darker than usual I try to drink more water.,drink_more,,
36,R_3QYMZsfUjtDOrjN,The nearer to colourless the better as it indicates enough liquid has been consumed. Darker colours show either dehydration or an excess of certain types of food or drink such as alcohol.,amount,hydration,diet,A constant dark colour of urine can indicate some issues such as kidney problems.,organ,,,If I ever see my urine is dark I will drink more water or at least think abouyt what I have been intaking recently.,sometimes_more,,
37,R_2zuaA0JDBDF8lVD,"The more hydrating liquid you drink, generally the lighter your urine should be",amount,hydration,diet,Shows hydration levels and is linked to kidney function.,hydration,organ,,no,no_effect,,
38,R_1M4GIn1wkkMq19A,"The darker your urine, the more dehydrated you are (clear = hydrated, yellow = dehydrated, dark yellow = really dehydrated)",hydration,,,"In general it mainly relates to hydration levels, but I'm aware that certain health issues or even food (beetroot, vitamins tablets) can change the colour of your urine.",hydration,,,"When my urine is yellow, I tend to drink water immediately.",drink_more,,
39,R_AEvNAi7vKh77cC5,"You can tell when someone is dehydrated or only drinking dark fluids as the urine will be a dark yellow, sometimes a bit brown",hydration,diet,,"It can be dark when someone has a urine infection. I also think that if someones urine is dark, they're not drinking enough fluids or not drinking water which is unhealthy",disease,,,"When I see that my urine is dark, I know I need to drink more water",awareness,,
40,R_3G1zK4MpNYzS4NT,If they are hydrated or not,hydration,,,If their kidneys are functioning or there are things in the urine that shouldn't be,organ,disease,,If it is dark to drink more water,drink_more,,
41,R_1OKdh75viOdfHjY,"The darker the urine, the more dehydrated they are",hydration,,,"Very much, it can show problems before they have been diagnosed ie kidney problems, blod in the urine etc",organ,,,I make an effort to drink more if it looks like I'm dehydrated,awareness,,
42,R_7UnAtJE8AWm4nlf,It shows whether they are not drinking enough water,amount,,,It is related to your health as is signifies any infections and whether or not your drink enough fluids,color ,disease,hydration,It should encourage you to drink more or less water dependant on the colour,N/A,,
43,R_240BwgAvD0QsFFe,If they are dehydrated it's more likely to be a darker colour,hydration,,,"Good health would be a middle colour, not super dark or light",color,,,"I don't really observe it much, I'm more likely to know that I'm dehydrated through other factors such as headaches",no_effect,,
44,R_3DtJmGa4nntDpPX,"The darker the colour, the more they need to drink.  Lighter means they are drinking enough.",amount ,,,Could show dehydration,hydration,,,"If the urine is dark, it prompts me to drink more",drink_more,,
45,R_A5pjGIVt40RJdN7,"If it's pale they've drank a lot of water, if it's really yellow they haven't drank enough",amount,,,Really yellow may be an indication of dehydration,hydration,,,I will drink more if I notice it's really yellow,drink_more,,
46,R_72FNLxyDYRcL3SV,Shows whether they drink enough,amount,,,Shows if their fluid intake is healthy,hydration,,,Could influence one to drink more,N/A,,
47,R_2VlLzEIsfJjs6s8,"I think that the darker the colour of someone's urine, the more dehydrated they are.",hydration,,,"I think if the urine is a darker colour, then the person has more urea in their urine.",concentration,,,I am more likely to have a glass of water if I see my urine is darker in colour.,drink_more,,
48,R_3KpAGt7O3D2cA3b,yes. drinking lots of water makes it more clear,amount,,,yes. the appearance of it can indicate health problems,color,,,it doesnt,no_effect,,
49,R_d40TPKNMZUSONb3,Urine is paler if they are well hydrated,hydration,,,Paler urine is more healthy,color,,,If my urine was dark I would drink some water,drink_more,,
50,R_25Bd783qgAcaLzX,"From what I understand, the darker the urine, the more dehydrated the person is.",hydration,,,"Urine should probably not be too dark, nor too clear.",N/A,,,"When it's too dark, I tend to drink more water.",drink_more,,
51,R_2chAARjojsNR1By,It shows if they have any kidneys problems,health ,,,If the person is hydrated,hydration,,,I drink enough,Ν/Α,,
52,R_1RFmErnbTXacw3D,"I think that the more fluids one drinks, the lighter the colour of urine.",amount,,,Darker coloured urine could indicate health issues.,color,,,"If my urine starts getting darker, I drink more water.",drink_more,,
53,R_3kN6pRKY1KkL3Hm,Typically linked to hydration?,hydration,,,Unsure,N/A,,,Prompts me to drink more,drink_more,,
54,R_2ck0gd9saY1Guqm,How hydrated they are.,hydration,,,Very much so. The clear it is the more hydrated they are .,hydration,,,I make sure I drink more if I think it is very dark.,awareness,,
55,R_2pST7WB6D2XpIqd,clear natural,N/A,,,sugar intakes,N/A,,,makes me consume more water,drink_more,,
56,R_1cS8MGIltwbzAQz,"That the more they drink, especially water, the clearer the urine will be.",amount,,,Generally speaking the clearer it is the healthier and more hydrated someone is. Really dark coloured urine could be a symptom of an illness.,color,disease,hydration,Observing my own urine colour allows me to identify if I need to drink more water throughout the day,awareness,,
57,R_DppBE1MoVxokrBv,"The darker the urine, the less they have drank. Usually dark urine is a sign of dehydration.",amount,hydration,,I do believe that the colour of urine is related to health but I'm not sure how.,N/A,color,,"If my urine is darker, I will probably drink more as I am likely to be dehydrated.",sometimes_more,,
58,R_3Rw3sanE8m1xWCK,Clear urine shows you are hydrated. The darker it gets the more your body is craving fluid.,hydration,,,"Darker urine shows you are dehydrated. Your body is telling you, you are not dirnking enough fluid.",hydration,,,Iknow by the colour or smell if i am drinking enough. Forces me to drink water.,drink_more,,
